city,region_name
Воткинск,Удмуртская Республика
Глазов,Удмуртская Республика
Ижевск,Удмуртская Республика
Камбарка,Удмуртская Республика
Можга,Удмуртская Республика
Сарапул,Удмуртская Республика
Барыш,Ульяновская область
Димитровград,Ульяновская область
Инза,Ульяновская область
Новоульяновск,Ульяновская область
Сенгилей,Ульяновская область
Ульяновск,Ульяновская область
Амурск,Хабаровский край
Бикин,Хабаровский край
Вяземский,Хабаровский край
Комсомольск-на-Амуре,Хабаровский край
Николаевск-на-Амуре,Хабаровский край
Советская Гавань,Хабаровский край
Хабаровск,Хабаровский край
Аша,Челябинская область
Бакал,Челябинская область
Верхнеуральск,Челябинская область
Верхний Уфалей,Челябинская область
Еманжелинск,Челябинская область
Златоуст,Челябинская область
Карабаш,Челябинская область
Карталы,Челябинская область
Касли,Челябинская область
Катав-Ивановск,Челябинская область
Копейск,Челябинская область
Коркино,Челябинская область
Куса,Челябинская область
Кыштым,Челябинская область
Магнитогорск,Челябинская область
Миасс,Челябинская область
Миньяр,Челябинская область
Нязепетровск,Челябинская область
Озерск,Челябинская область
Пласт,Челябинская область
Сатка,Челябинская область
Сим,Челябинская область
Снежинск,Челябинская область
Трехгорный,Челябинская область
Троицк,Челябинская область
Усть-Катав,Челябинская область
Чебаркуль,Челябинская область
Челябинск,Челябинская область
Южноуральск,Челябинская область
Юрюзань,Челябинская область
Аргун,Чеченская Республика
Грозный,Чеченская Республика
Гудермес,Чеченская Республика
Курчалой,Чеченская Республика
Урус-Мартан,Чеченская Республика
Шали,Чеченская Республика
Алатырь,Чувашская Республика
Канаш,Чувашская Республика
Козловка,Чувашская Республика
Мариинский Посад,Чувашская Республика
Новочебоксарск,Чувашская Республика
Цивильск,Чувашская Республика
Чебоксары,Чувашская Республика
Шумерля,Чувашская Республика
Ядрин,Чувашская Республика
Анадырь,Чукотский автономный округ
Билибино,Чукотский автономный округ
Певек,Чукотский автономный округ
Гаврилов-Ям,Ярославская область
Данилов,Ярославская область
Любим,Ярославская область
Мышкин,Ярославская область
Переславль-Залесский,Ярославская область
Пошехонье,Ярославская область
Ростов,Ярославская область
Рыбинск,Ярославская область
Тутаев,Ярославская область
Углич,Ярославская область
Ярославль,Ярославская область
